"group","condition","char_set","trial_type","trial_id","target_pronoun","target_id","target_image","target_name","target_file","distractor_pronoun","distractor_id","distractor_image","distractor_name","distractor_file","object_image","target_x","distractor_x","object_x","object_y2","object_y3","object_y4","sibling_image","sibling_pos","top_left","top_right","bottom_left","bottom_right","correct_description","audio"
"20","neither","2","example","neither_list2_example1","he","4","HT1","jordan","HT1_he_jordan.png","she","5","ST2","casey","ST2_she_casey.png","fork.png",275,525,175,250,300,350,"HT1_brother_jordan.png","bottom left","HT1_sister_jordan.png","ST2_brother_casey.png","HT1_brother_jordan.png","ST2_sister_casey.png","Jordan gave the fork to his brother.","example_jordan-fork-his-brother.mp3"
"20","neither","2","example","neither_list2_example2","she","5","ST2","casey","ST2_she_casey.png","they","6","ST3","jaime","ST3_they_jaime.png","pepper.png",525,275,725,250,300,350,"ST2_sister_casey.png","bottom right","ST3_brother_jaime.png","ST2_brother_casey.png","ST3_sister_jaime.png","ST2_sister_casey.png","Casey gave the pepper to her sister.","example_casey-pepper-her-sister.mp3"
"20","neither","2","example","neither_list2_example3","they","6","ST3","jaime","ST3_they_jaime.png","he","4","HT1","jordan","HT1_he_jordan.png","peach.png",525,275,725,150,100,50,"ST3_brother_jaime.png","top right","HT1_brother_jordan.png","ST3_brother_jaime.png","HT1_sister_jordan.png","ST3_sister_jaime.png","Jaime gave the peach to their brother.","example_jaime-peach-their-brother.mp3"
"21","neither","3","example","neither_list3_example1","he","7","HT3","jaime","HT3_he_jaime.png","she","8","ST3","alex","ST3_she_alex.png","fork.png",275,525,175,250,300,350,"HT3_brother_jaime.png","bottom left","HT3_sister_jaime.png","ST3_brother_alex.png","HT3_brother_jaime.png","ST3_sister_alex.png","Jaime gave the fork to his brother.","example_jaime-fork-his-brother.mp3"
"21","neither","3","example","neither_list3_example2","she","8","ST3","alex","ST3_she_alex.png","they","9","HT1","casey","HT1_they_casey.png","pepper.png",525,275,725,250,300,350,"ST3_sister_alex.png","bottom right","HT1_brother_casey.png","ST3_brother_alex.png","HT1_sister_casey.png","ST3_sister_alex.png","Alex gave the pepper to her sister.","example_alex-pepper-her-sister.mp3"
"21","neither","3","example","neither_list3_example3","they","9","HT1","casey","HT1_they_casey.png","he","7","HT3","jaime","HT3_he_jaime.png","peach.png",525,275,725,150,100,50,"HT1_brother_casey.png","top right","HT3_brother_jaime.png","HT1_brother_casey.png","HT3_sister_jaime.png","HT1_sister_casey.png","Casey gave the peach to their brother.","example_casey-peach-their-brother.mp3"
"22","neither","4","example","neither_list4_example1","he","10","HT2","taylor","HT2_he_taylor.png","she","11","ST1","jordan","ST1_she_jordan.png","fork.png",275,525,175,250,300,350,"HT2_brother_taylor.png","bottom left","HT2_sister_taylor.png","ST1_brother_jordan.png","HT2_brother_taylor.png","ST1_sister_jordan.png","Taylor gave the fork to his brother.","example_taylor-fork-his-brother.mp3"
"22","neither","4","example","neither_list4_example2","she","11","ST1","jordan","ST1_she_jordan.png","they","12","ST2","sam","ST2_they_sam.png","pepper.png",525,275,725,250,300,350,"ST1_sister_jordan.png","bottom right","ST2_brother_sam.png","ST1_brother_jordan.png","ST2_sister_sam.png","ST1_sister_jordan.png","Jordan gave the pepper to her sister.","example_jordan-pepper-her-sister.mp3"
"22","neither","4","example","neither_list4_example3","they","12","ST2","sam","ST2_they_sam.png","he","10","HT2","taylor","HT2_he_taylor.png","peach.png",525,275,725,150,100,50,"ST2_brother_sam.png","top right","HT2_brother_taylor.png","ST2_brother_sam.png","HT2_sister_taylor.png","ST2_sister_sam.png","Sam gave the peach to their brother.","example_sam-peach-their-brother.mp3"
"23","neither","5","example","neither_list5_example1","he","13","HT2","casey","HT2_he_casey.png","she","14","ST2","jaime","ST2_she_jaime.png","fork.png",275,525,175,250,300,350,"HT2_brother_casey.png","bottom left","HT2_sister_casey.png","ST2_brother_jaime.png","HT2_brother_casey.png","ST2_sister_jaime.png","Casey gave the fork to his brother.","example_casey-fork-his-brother.mp3"
"23","neither","5","example","neither_list5_example2","she","14","ST2","jaime","ST2_she_jaime.png","they","15","ST1","alex","ST1_they_alex.png","pepper.png",525,275,725,250,300,350,"ST2_sister_jaime.png","bottom right","ST1_brother_alex.png","ST2_brother_jaime.png","ST1_sister_alex.png","ST2_sister_jaime.png","Jaime gave the pepper to her sister.","example_jaime-pepper-her-sister.mp3"
"23","neither","5","example","neither_list5_example3","they","15","ST1","alex","ST1_they_alex.png","he","13","HT2","casey","HT2_he_casey.png","peach.png",525,275,725,150,100,50,"ST1_brother_alex.png","top right","HT2_brother_casey.png","ST1_brother_alex.png","HT2_sister_casey.png","ST1_sister_alex.png","Alex gave the peach to their brother.","example_alex-peach-their-brother.mp3"
"24","neither","6","example","neither_list6_example1","he","16","HT3","sam","HT3_he_sam.png","she","17","ST3","taylor","ST3_she_taylor.png","fork.png",275,525,175,250,300,350,"HT3_brother_sam.png","bottom left","HT3_sister_sam.png","ST3_brother_taylor.png","HT3_brother_sam.png","ST3_sister_taylor.png","Sam gave the fork to his brother.","example_sam-fork-his-brother.mp3"
"24","neither","6","example","neither_list6_example2","she","17","ST3","taylor","ST3_she_taylor.png","they","18","HT2","jordan","HT2_they_jordan.png","pepper.png",525,275,725,250,300,350,"ST3_sister_taylor.png","bottom right","HT2_brother_jordan.png","ST3_brother_taylor.png","HT2_sister_jordan.png","ST3_sister_taylor.png","Taylor gave the pepper to her sister.","example_taylor-pepper-her-sister.mp3"
"24","neither","6","example","neither_list6_example3","they","18","HT2","jordan","HT2_they_jordan.png","he","16","HT3","sam","HT3_he_sam.png","peach.png",525,275,725,150,100,50,"HT2_brother_jordan.png","top right","HT3_brother_sam.png","HT2_brother_jordan.png","HT3_sister_sam.png","HT2_sister_jordan.png","Jordan gave the peach to their brother.","example_jordan-peach-their-brother.mp3"
