ParticipantID,TrialType,TrialID,Pronoun_Pair,T_Pronoun,C_Pronoun,Match_Num,Match_Start,Match_End,Match_RT,IsOutlier
4_001,CR,L01_CR33_S13,HeShe|SheHe,she/her,he/him,1,1118458.766,1120455,1996.23356,FALSE
4_001,CR,L01_CR55_S42,HeShe|They,she/her,they/them,1,1130491.116,1134576,4084.884354,FALSE
4_001,CR,L01_CR78_S50,They|HeShe,they/them,he/him,1,1144307.866,1147172,2864.133787,FALSE
4_001,CR,L01_CR30_S50,HeShe|They,he/him,they/them,1,1156836.866,1158579,1742.133787,FALSE
4_001,CR,L01_CR77_S48,They|HeShe,they/them,he/him,1,1168323.27,1169867,1543.730159,FALSE
4_001,CR,L01_CR09_S01,HeShe|SheHe,he/him,she/her,1,1180440.986,1182714,2273.013605,FALSE
4_001,CR,L01_CR27_S32,HeShe|They,he/him,they/them,1,1192713.946,1197417,4703.054422,FALSE
4_001,FD,L01_FD07_S56,HeShe|They,she/her,they/them,0,1206869.365,1208827,1957.634921,FALSE
4_001,CR,L01_CR60_S52,HeShe|They,she/her,they/them,1,1218335.283,1219825,1489.716553,FALSE
4_001,FP,L01_FP02_S26,HeShe|SheHe,he/him,she/her,1,1230406.696,1235328,4921.303855,FALSE
4_001,CR,L01_CR94_S58,They|HeShe,they/them,she/her,1,1245521.388,1251128,5606.612245,FALSE
4_001,CR,L01_CR73_S10,They|HeShe,they/them,he/him,1,1261874.955,1285051,23176.04535,FALSE
4_001,CR,L01_CR70_S35,They|HeShe,they/them,he/him,1,1294836.646,1296354,1517.353741,FALSE
4_001,CR,L01_CR08_S17,HeShe|SheHe,he/him,she/her,1,1307070.855,1308434,1363.145125,FALSE
4_001,CR,L01_CR36_S14,HeShe|SheHe,she/her,he/him,1,1318549.995,1320894,2344.004535,FALSE
4_001,CR,L01_CR76_S09,They|HeShe,they/them,he/him,1,1330943.646,1333568,2624.353741,FALSE
4_001,FP,L01_FP07_S58,They|HeShe,they/them,she/her,1,1343796.388,1352816,9019.612245,FALSE
4_001,CR,L01_CR90_S43,They|HeShe,they/them,she/her,1,1362916.456,1365134,2217.544218,FALSE
4_001,CR,L01_CR54_S41,HeShe|They,she/her,they/them,1,1375420.535,1377420,1999.464853,FALSE
4_001,CR,L01_CR84_S39,They|HeShe,they/them,she/her,1,1387209.617,1390707,3497.38322,FALSE
4_001,CR,L01_CR04_S12,HeShe|SheHe,he/him,she/her,1,1402744.776,1404551,1806.22449,FALSE
4_001,CR,L01_CR06_S16,HeShe|SheHe,he/him,she/her,1,1414536.576,1424808,10271.42404,FALSE
4_001,FD,L01_FD02_S06,HeShe|They,he/him,they/them,0,1435426.215,1437271,1844.78458,FALSE
4_001,CR,L01_CR68_S24,They|HeShe,they/them,he/him,1,1447532.336,1449326,1793.664399,FALSE
4_001,CR,L01_CR61_S60,HeShe|They,she/her,they/them,1,1460156.986,1462492,2335.013605,FALSE
4_001,CR,L01_CR75_S09,They|HeShe,they/them,he/him,1,1472320.646,1473991,1670.353741,FALSE
4_001,CR,L01_CR89_S45,They|HeShe,they/them,she/her,1,1483630.646,1489505,5874.353741,FALSE
4_001,CR,L01_CR58_S51,HeShe|They,she/her,they/them,1,1499342.646,1501381,2038.353741,FALSE
4_001,CR,L01_CR12_S02,HeShe|SheHe,he/him,she/her,1,1512888.399,1514794,1905.600907,FALSE
4_001,CR,L01_CR24_S07,HeShe|They,he/him,they/them,1,1526743.914,1528183,1439.086168,FALSE
4_001,CR,L01_CR45_S28,HeShe|SheHe,she/her,he/him,1,1538370.816,1542279,3908.183673,FALSE
4_001,CR,L01_CR71_S34,They|HeShe,they/them,he/him,1,1552753.88,1596678,43924.12018,TRUE
4_001,CR,L01_CR69_S33,They|HeShe,they/them,he/him,1,1606245.576,1607612,1366.424036,FALSE
4_001,CR,L01_CR96_S59,They|HeShe,they/them,she/her,1,1617738.644,1619596,1857.356009,FALSE
4_001,CR,L01_CR79_S49,They|HeShe,they/them,he/him,0,1628395.435,1632082,3686.564626,FALSE
4_001,CR,L01_CR34_S15,HeShe|SheHe,she/her,he/him,1,1643075.9,1644816,1740.099773,FALSE
4_001,CR,L01_CR17_S21,HeShe|They,he/him,they/them,1,1655774.054,1659411,3636.945578,FALSE
4_001,CR,L01_CR16_S27,HeShe|SheHe,he/him,she/her,1,1669709.955,1671484,1774.045351,FALSE
4_001,FD,L01_FD09_S53,They|HeShe,they/them,she/her,0,1682079.315,1683842,1762.684807,FALSE
4_001,CR,L01_CR01_S15,HeShe|SheHe,he/him,she/her,1,1694664.9,1696126,1461.099773,FALSE
4_001,CR,L01_CR05_S16,HeShe|SheHe,he/him,she/her,1,1705990.576,1707569,1578.424036,FALSE
4_001,CR,L01_CR41_S20,HeShe|SheHe,she/her,he/him,1,1718416.236,1723866,5449.764172,FALSE
4_001,CR,L01_CR65_S23,They|HeShe,they/them,he/him,1,1734805.315,1736688,1882.684807,FALSE
4_001,CR,L01_CR82_S38,They|HeShe,they/them,she/her,1,1746901.331,1748962,2060.668934,FALSE
4_001,CR,L01_CR80_S49,They|HeShe,they/them,he/him,1,1757798.435,1759520,1721.564626,FALSE
4_001,FD,L01_FD10_S48,They|HeShe,they/them,he/him,0,1769485.27,1770823,1337.730159,FALSE
4_001,FP,L01_FP01_S11,HeShe|SheHe,he/him,she/her,1,1780617.476,1787010,6392.52381,FALSE
4_001,FD,L01_FD03_S02,HeShe|SheHe,he/him,she/her,0,1798340.399,1799696,1355.600907,FALSE
4_001,CR,L01_CR21_S10,HeShe|They,he/him,they/them,1,1810863.955,1812292,1428.045351,FALSE
4_001,CR,L01_CR32_S47,HeShe|They,he/him,they/them,1,1822077.306,1824027,1949.693878,FALSE
4_001,CR,L01_CR37_S03,HeShe|SheHe,she/her,he/him,1,1834884.435,1838418,3533.564626,FALSE
4_001,CR,L01_CR22_S06,HeShe|They,he/him,they/them,1,1849201.215,1888089,38887.78458,TRUE
4_001,CR,L01_CR56_S45,HeShe|They,she/her,they/them,1,1898167.646,1899863,1695.353741,FALSE
4_001,CR,L01_CR81_S40,They|HeShe,they/them,she/her,1,1909572.796,1911046,1473.204082,FALSE
4_001,CR,L01_CR18_S25,HeShe|They,he/him,they/them,1,1921901.875,1923999,2097.124717,FALSE
4_001,CR,L01_CR19_S22,HeShe|They,he/him,they/them,1,1934915.385,1936529,1613.614512,FALSE
4_001,CR,L01_CR47_S29,HeShe|SheHe,she/her,he/him,1,1948175.726,1951838,3662.274376,FALSE
4_001,FP,L01_FP04_S28,HeShe|SheHe,she/her,he/him,1,1962333.816,1966618,4284.183673,FALSE
4_001,CR,L01_CR93_S60,They|HeShe,they/them,she/her,1,1977074.986,1979151,2076.013605,FALSE
4_001,CR,L01_CR38_S05,HeShe|SheHe,she/her,he/him,1,1988768.492,1990814,2045.507937,FALSE
4_001,CR,L01_CR31_S47,HeShe|They,he/him,they/them,1,2000475.306,2002941,2465.693878,FALSE
4_001,CR,L01_CR28_S32,HeShe|They,he/him,they/them,1,2013041.946,2016228,3186.054422,FALSE
4_001,FP,L01_FP03_S13,HeShe|SheHe,she/her,he/him,1,2026251.766,2028891,2639.23356,FALSE
4_001,FD,L01_FD08_S51,HeShe|They,she/her,they/them,0,2038528.646,2041261,2732.353741,FALSE
4_001,CR,L01_CR20_S22,HeShe|They,he/him,they/them,1,2052249.385,2056793,4543.614512,FALSE
4_001,CR,L01_CR49_S40,HeShe|They,she/her,they/them,1,2067099.796,2068966,1866.204082,FALSE
4_001,FD,L01_FD05_S36,HeShe|They,she/her,they/them,0,2080762.254,2084085,3322.746032,FALSE
4_001,CR,L01_CR86_S53,They|HeShe,they/them,she/her,1,2094252.315,2095765,1512.684807,FALSE
4_001,CR,L01_CR50_S36,HeShe|They,she/her,they/them,1,2107399.254,2109288,1888.746032,FALSE
4_001,CR,L01_CR52_S37,HeShe|They,she/her,they/them,1,2119074.333,2120696,1621.666667,FALSE
4_001,CR,L01_CR85_S55,They|HeShe,they/them,she/her,1,2130744.365,2131936,1191.634921,FALSE
4_002,PR,L02_PR05_S49,They|HeShe,they/them,he/him,1,712104.4354,731167,19062.56463,FALSE
4_002,PR,L02_PR04_S33,HeShe|SheHe,she/her,he/him,0,741105.576,754026,12920.42404,FALSE
4_002,PR,L02_PR03_S07,HeShe|SheHe,she/her,he/him,1,766427.9138,774448,8020.086168,FALSE
4_002,PR,L02_PR01_S32,HeShe|SheHe,he/him,she/her,1,784884.9456,789335,4450.054422,FALSE
4_002,PR,L02_PR02_S42,HeShe|They,he/him,they/them,0,799462.1156,802825,3362.884354,FALSE
4_002,PR,L02_PR06_S19,They|HeShe,they/them,she/her,0,814280.7846,834892,20611.21542,FALSE
4_002,FD,L02_FD10_S14,They|HeShe,they/them,he/him,0,844606.9955,846266,1659.004535,FALSE
4_002,CR,L02_CR01_S26,HeShe|SheHe,he/him,she/her,1,856863.6961,858613,1749.303855,FALSE
4_002,CR,L02_CR69_S43,They|HeShe,they/them,he/him,1,868484.4558,870260,1775.544218,FALSE
4_002,CR,L02_CR41_S35,HeShe|SheHe,she/her,he/him,1,880106.6463,881908,1801.353741,FALSE
4_002,CR,L02_CR55_S17,HeShe|They,she/her,they/them,1,892841.8549,896766,3924.145125,FALSE
4_002,CR,L02_CR15_S39,HeShe|SheHe,he/him,she/her,1,906452.6168,908003,1550.38322,FALSE
4_002,CR,L02_CR70_S43,They|HeShe,they/them,he/him,0,918177.4558,922274,4096.544218,FALSE
4_002,CR,L02_CR82_S58,They|HeShe,they/them,she/her,0,932366.3878,937837,5470.612245,FALSE
4_002,CR,L02_CR34_S28,HeShe|SheHe,she/her,he/him,1,948526.8163,953874,5347.183673,FALSE
4_002,CR,L02_CR81_S58,They|HeShe,they/them,she/her,1,964065.3878,968955,4889.612245,FALSE
4_002,CR,L02_CR43_S34,HeShe|SheHe,she/her,he/him,1,979637.8798,982244,2606.120181,FALSE
4_002,CR,L02_CR72_S45,They|HeShe,they/them,he/him,1,992214.6463,994249,2034.353741,FALSE
4_002,CR,L02_CR60_S54,HeShe|They,she/her,they/them,1,1004493.766,1005940,1446.23356,FALSE
4_002,CR,L02_CR29_S11,HeShe|They,he/him,they/them,1,1016012.476,1023803,7790.52381,FALSE
