Participant,Age,English,Gender,Condition,List,PSA,Biography,Name,Job,Pet,Pronoun,M_Type,M_Response,M_Acc,P_Text,P_Response,P_Acc
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Laura,mechanic,cat,she/her,pronoun,she/her,1,She washed up,she/her,1
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Brian,accountant,fish,he/him,job,accountant,1,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Brian,accountant,fish,he/him,pet,dog,0,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Brian,accountant,fish,he/him,pronoun,they/them,0,he greeted his kids.,he/him,1
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Amanda,engineer,cat,she/her,job,engineer,1,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Amanda,engineer,cat,she/her,pet,cat,1,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Amanda,engineer,cat,she/her,pronoun,she/her,1,she took a bath,she/her,1
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Andrew,teacher,dog,he/him,job,janitor,0,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Andrew,teacher,dog,he/him,pet,dog,1,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Andrew,teacher,dog,he/him,pronoun,he/him,1,he graded papers,he/him,1
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Daniel,retail,cat,he/him,job,doctor,0,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Daniel,retail,cat,he/him,pet,fish,0,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Daniel,retail,cat,he/him,pronoun,they/them,0,he relaxed,he/him,1
2_002,58,"native (learned from birth)",male,both,both_1,1,1,James,janitor,dog,he/him,job,food service,0,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,James,janitor,dog,he/him,pet,dog,1,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,James,janitor,dog,he/him,pronoun,he/him,1,he swept his floor in the entry,he/him,1
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Stephanie,nurse,cat,they/them,job,nurse,1,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Stephanie,nurse,cat,they/them,pet,cat,1,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Stephanie,nurse,cat,they/them,pronoun,she/her,0,she made some coffee,she/her,0
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Emily,Uber driver,dog,she/her,job,Uber driver,1,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Emily,Uber driver,dog,she/her,pet,dog,1,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Emily,Uber driver,dog,she/her,pronoun,she/her,1,She got off and relaxed in a chair,she/her,1
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Melissa,IT,fish,they/them,job,IT,1,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Melissa,IT,fish,they/them,pet,dog,0,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Melissa,IT,fish,they/them,pronoun,she/her,0,she made some lasagna,she/her,0
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Kevin,doctor,dog,they/them,job,retail,0,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Kevin,doctor,dog,they/them,pet,dog,1,NA,NA,NA
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Kevin,doctor,dog,they/them,pronoun,he/him,0,he kissed his wife,he/him,0
2_002,58,"native (learned from birth)",male,both,both_1,1,1,Michael,salesperson,fish,they/them,job,sales,0,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Stephanie,nurse,cat,they/them,job,nurse,1,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Stephanie,nurse,cat,they/them,pet,cat,1,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Stephanie,nurse,cat,they/them,pronoun,they/them,1,they called their mother,they/them,1
2_003,28,"native (learned from birth)",male,both,both_1,1,1,James,janitor,dog,he/him,pet,dog,1,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,James,janitor,dog,he/him,pronoun,he/him,1,he did a load of laundry,he/him,1
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Daniel,retail,cat,he/him,job,janitor,0,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,James,janitor,dog,he/him,job,retail,0,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Daniel,retail,cat,he/him,pronoun,he/him,1,he cried himself to sleep,he/him,1
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Melissa,IT,fish,they/them,job,IT,1,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Melissa,IT,fish,they/them,pet,fish,1,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Melissa,IT,fish,they/them,pronoun,they/them,1,she watered her plants,she/her,0
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Andrew,teacher,dog,he/him,job,teacher,1,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Andrew,teacher,dog,he/him,pet,dog,1,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Andrew,teacher,dog,he/him,pronoun,he/him,1,he fed his dog,he/him,1
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Brian,accountant,fish,he/him,job,food service,0,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Brian,accountant,fish,he/him,pet,fish,1,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Brian,accountant,fish,he/him,pronoun,he/him,1,he ordered a pizza,he/him,1
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Michael,salesperson,fish,they/them,job,Uber driver,0,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Michael,salesperson,fish,they/them,pet,fish,1,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Daniel,retail,cat,he/him,pet,dog,0,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Jessica,food service,fish,she/her,job,Uber driver,0,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Jessica,food service,fish,she/her,pet,cat,0,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Jessica,food service,fish,she/her,pronoun,she/her,1,she took a bath,she/her,1
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Emily,Uber driver,dog,she/her,job,retail,0,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Emily,Uber driver,dog,she/her,pet,cat,0,NA,NA,NA
2_003,28,"native (learned from birth)",male,both,both_1,1,1,Emily,Uber driver,dog,she/her,pronoun,she/her,1,she took a nap,she/her,1
